date,high,low,open,close,volume,quoteVolume,weightedAverage
1566338700,10779.89999997,10761.00095214,10774.37008967,10779.89999997,49214.16318959,4.56971984,10769.62372152
1566339000,10788.3999998,10766.37475024,10784.21195997,10766.37475024,4550.22625935,0.42209558,10780.08506829
1566339300,10779.89999998,10777.68999966,10777.68999966,10779.89999998,14549.67220599,1.34974572,10779.56535842
1566339600,10789,10785,10785,10789,13026.01910871,1.20744571,10788.07850392
1566339900,10799.89999999,10789,10789,10799.46743988,8672.91518745,0.80307131,10799.68251817
1566340200,10796.29999949,10789.44906204,10796.29999949,10789.44906204,1570.02790781,0.14542791,10795.91880141
1566340500,10805,10789.44906204,10789.44906204,10805,9319.44513516,0.8631151,10797.45347424
1566340800,10815.79944751,10802.20807331,10815.79944751,10813.23999997,808.5077741,0.07479851,10809.14277714
1566341100,10816.00000001,10810,10813.28751961,10814,11089.69033881,1.02534035,10815.61877362
1566341400,10820.42857142,10813.99999999,10814,10820.42857142,27533.21348793,2.54500639,10818.52430552
1566341700,10835.22577752,10820.4285715,10821,10829.23909396,15585.74645624,1.43883564,10832.1937704
1566342000,10826.8,10789.44906205,10826.8,10789.44906205,63574.3401936,5.88008806,10811.80069837
1566342300,10803.9999998,10799.17394827,10799.17394827,10803.9999998,205.18344676,0.01899646,10801.14120004
1566342600,10792,10792,10792,10792,1589.55368,0.14729,10792
1566342900,10792,10776.91218071,10792,10777,8767.13018294,0.81336331,10778.86114994
1566343200,10777,10777,10777,10777,0,0,10777
1566343500,10790.68999787,10784.97280524,10785.07280524,10790.28999773,37711.2113769,3.49512544,10789.65891905
1566343800,10791,10777.53853522,10791,10778.69999983,9433.4389095,0.8747974,10783.56989801
1566344100,10778.69999983,10778.69999983,10778.69999983,10778.69999983,0,0,10778.69999983
1566344400,10779.19790128,10758.91,10779.19790128,10758.91,21522.62651132,1.99873941,10768.10033546
1566344700,10764.19999999,10755.62028433,10755.62028433,10763.28989989,9589.4261218,0.89113766,10760.88078446
1566345000,10760.59698193,10743.76730998,10760.59698193,10743.76730998,3875.58959905,0.36052383,10749.88468599
1566345300,10747.1349111,10734.4999999,10742.65658607,10747.1349111,3317.24556349,0.30889,10739.24556798
1566345600,10776.69999983,10762.37994863,10763.86594711,10775.29999973,2092.82635307,0.19436608,10767.44642416
1566345900,10782.99999996,10762.87639565,10762.87639565,10782.99999996,217.21530505,0.02016143,10773.80448984
1566346200,10784.0142857,10784.0142857,10784.0142857,10784.0142857,12574.16065712,1.166,10784.0142857
1566346500,10799.53171858,10770.98280302,10784.71428571,10770.98280302,1675.96655237,0.15546158,10780.58355236
1566346800,10767.0272675,10767.0272675,10767.0272675,10767.0272675,398.38000889,0.037,10767.0272675
1566347100,10767.0272675,10767.0272675,10767.0272675,10767.0272675,4.59752064,0.000427,10767.0272675
1566347400,10758.19262363,10750,10758.19262363,10750,227.65868787,0.02116463,10756.56356282
1566347700,10750.00000001,10703.42071121,10750.00000001,10710.71,40117.95666294,3.74543173,10711.17018142
1566348000,10719.52198925,10680.25473645,10713.63999997,10713.90955677,18089.06241225,1.68953169,10706.554082
1566348300,10717.65031321,10686.18746134,10717.65031321,10690.65517234,13294.5331086,1.24385638,10688.15767026
1566348600,10702.16568999,10686.24387794,10687.35387824,10702.16568999,16358.4105465,1.53037091,10689.18027623
1566348900,10691.0999998,10691.0999998,10691.0999998,10691.0999998,10.43280302,0.00097584,10691.0999998
1566349200,10697,10677.6517139,10697,10677.6517139,21071.43330365,1.97089912,10691.27947231
1566349500,10677.57142857,10650,10677.57142857,10666.32469506,33256.92868142,3.11933616,10661.54046104
1566349800,10689.06735007,10660.62381999,10660.62381999,10689.06735007,9788.9252331,0.91638927,10682.06007377
1566350100,10703.96999384,10699.43129408,10699.43129408,10703.96999384,6103.92527838,0.57026993,10703.57204068
1566350400,10700.20225104,10696.92099982,10700.20225104,10696.92099982,269.76412699,0.02521657,10697.8913861
1566350700,10694.08999971,10682.46983087,10694.08999971,10682.46983087,1785.05862239,0.1670976,10682.73046644
1566351000,10693.5592228,10679.33,10679.33,10693.5592228,3745.82331026,0.35029976,10693.19405261
1566351300,10692.15922259,10678.59521913,10692.15922259,10678.59521913,7564.56913825,0.70760254,10690.42112011
1566351600,10688.58307102,10670.82099991,10688.58307102,10670.82099991,2689.06530993,0.25198366,10671.58604622
1566351900,10674.97,10658.24963116,10665.90255232,10674.97,447.26021903,0.04193305,10666.05503372
1566352200,10685.26999999,10681.10727939,10684.66999997,10685.26999999,4642.04624338,0.43446136,10684.60091223
1566352500,10686.96999999,10685.27,10685.27,10686.25999998,186.90927049,0.01749083,10686.12927434
1566352800,10677.63475457,10673.76594442,10677.63475457,10673.76594442,7316.26169654,0.68543864,10673.83901285
1566353100,10675,10674.89519835,10675,10675,3188.86632475,0.29872286,10674.99931125
1566353400,10691.66,10686.95,10686.95,10691.66,1628.9461293,0.15242024,10687.20354529
1566353700,10701.25979985,10695.2,10695.2,10700.35979966,1540.49690437,0.1440225,10696.22388431
1566354000,10697.219799,10687.40587564,10697.219799,10687.40587564,2245.33662622,0.21,10692.07917247
1566354300,10687.79999986,10683.44737907,10687.79999986,10683.44737907,450.32465895,0.04213473,10687.73097522
1566354600,10682.39999975,10677.2373337,10677.2373337,10682.39999975,4.59043462,0.00042972,10682.38534264
1566354900,10677.2373337,10600.24108998,10677.2373337,10600.24108998,47962.27235265,4.51240617,10628.97942821
1566355200,10622.45523266,10605.16649045,10605.16649045,10605.2,13307.93809891,1.25431956,10609.68713499
1566355500,10613.00999998,10580.08741267,10604.91658545,10597.5749852,98433.49836418,9.29597552,10588.82934366
1566355800,10617.36999995,10575.73737327,10597.5249851,10617.36999995,51032.721197,4.8190448,10589.8001191
1566356100,10616.4599998,10610.25075229,10610.25075229,10616.4599998,87.0158123,0.00819797,10614.31211653
1566356400,10607.62454229,10584.69190906,10604.06831968,10588.7453632,26904.68034152,2.53825051,10599.69464618
1566356700,10629.7920218,10599.38123791,10599.38123791,10629.7920218,3599.14111385,0.33934751,10606.06312936
1566357000,10627.80898502,10622.10663104,10622.10663104,10627.80898502,1647.44193644,0.15501974,10627.30421586
1566357300,10617.86,10608.35433289,10617.86,10608.35433289,36.01951605,0.00339423,10611.98447312
1566357600,10617.48,10601.1452638,10617.48,10608.0784122,11414.94732428,1.07601952,10608.49465285
1566357900,10597.22135979,10586.62083,10596.03221407,10593.57999998,16430.71173231,1.55166154,10589.10806818
1566358200,10597.22135979,10401.68344309,10597.22135972,10401.68344309,752767.29653584,71.49666512,10528.70501403
1566358500,10409.47848708,10319.93115946,10404.79525055,10346.13038584,432798.46981958,41.78271008,10358.31493435
1566358800,10353.48144634,10299.99999999,10341.64495858,10326.64343255,299592.53063122,29.05315933,10311.87442399
1566359100,10326.96152682,10236.86319239,10317.1255047,10308.30000001,239157.67774031,23.29498885,10266.48603612
1566359400,10342.47605249,10308.35152,10317.51702589,10308.55152001,37947.41699056,3.67606463,10322.83727573
1566359700,10336.82050791,10302,10308.35152,10317.78609884,74710.52519241,7.24432867,10312.96737015
1566360000,10328.60536462,10280.92546046,10323.19616996,10307.35807,51282.04855584,4.98111787,10295.28910863
1566360300,10309.29878509,10277.74949001,10286.44894001,10301.15950573,21241.48450689,2.06504174,10286.225259
1566360600,10309.2987851,10290.76004482,10301.0595057,10300,5714.34620764,0.55479962,10299.83799852
1566360900,10300,10261.4804515,10299.99999999,10281.80257099,53952.26266484,5.24131167,10293.65663821
1566361200,10259.99999998,10175.42152152,10259.99999998,10213.31144979,170492.62769633,16.68714356,10217.00491059
1566361500,10220.65254643,10199.83157013,10209.32677809,10220.65254643,292798.11578364,28.64799142,10220.54605822
1566361800,10231.94411294,10220.55254639,10220.65254643,10231.94411294,280018.89355343,27.39599474,10221.1617505
1566362100,10238.74623878,10232.13052101,10237.91255756,10238.46822073,19871.53728436,1.94127754,10236.31957559
1566362400,10243.88,10201.00000002,10238.3782207,10204.29225984,55510.53566712,5.4337226,10215.93109429
1566362700,10230.83568535,10201,10203.37879424,10230.83568535,26340.21973315,2.58073104,10206.49549483
1566363000,10245.0167892,10226.61,10229.56588614,10226.61,21698.0103397,2.12043387,10232.81633381
1566363300,10237.20651474,10210.01672138,10237.20651474,10210.01672138,12075.59351745,1.18227521,10213.86003471
1566363600,10219.01999999,10180,10209.2494911,10219.01999999,5187.90811409,0.50873688,10197.62536991
1566363900,10226.66630379,10211.68439877,10222.55903107,10225.6536362,9008.55983931,0.88120752,10222.97204103
1566364200,10233.10292256,10215.40000009,10233.10292256,10225.23437853,16478.29798909,1.61159287,10224.85163333
1566364500,10233.34825633,10207.93493026,10226.33633925,10233.34825633,6334.91269723,0.61974384,10221.82438673
1566364800,10265.1030632,10218.00000004,10218.00000004,10265.1030632,29844.96856981,2.91129203,10251.45133578
1566365100,10290.87,10264.39500104,10265.42500108,10272.48552656,30026.28781597,2.9220382,10275.80262844
1566365400,10282.85693722,10266.17884135,10278.38980022,10266.17884135,31973.17753901,3.11047943,10279.17986874
1566365700,10271.70651248,10257.24781183,10264.39500095,10271.70651248,708.93816222,0.06907707,10263.00279133
1566366000,10268.04999998,10251.99886129,10268.04999997,10251.99886129,16113.6044884,1.57113527,10256.02619715
1566366300,10253.51060444,10239.51565,10253.51060444,10239.51565,13422.27150544,1.30940245,10250.68458169
1566366600,10246.61052586,10246.61052586,10246.61052586,10246.61052586,106.11912437,0.01035651,10246.61052586
1566366900,10257.54342267,10220,10250.21052603,10247.74648522,136193.2657001,13.30412025,10236.92383568
1566367200,10262.80203149,10244.49999998,10245.49999997,10262.80203148,7118.82883512,0.69410426,10256.1376516
1566367500,10286.91954236,10259.42285838,10259.42285838,10285.27593227,22688.66089682,2.2076326,10277.37174058
1566367800,10278.17999998,10268.88920164,10277.95999986,10268.88920164,636.63816916,0.06194508,10277.46140881
1566368100,10260.00000001,10228.00000002,10260,10237.100272,35630.17087947,3.47932788,10240.53268571
1566368400,10230.75950674,10220,10230.75950674,10220.06389997,15265.4541206,1.492856,10225.67087555
1566368700,10226,10224.5,10224.5,10225.10728254,8179.25413254,0.79988588,10225.526337
1566369000,10224.57687205,10181.58466836,10224.57687205,10183.09455581,59144.61617935,5.79167818,10211.99975917
1566369300,10185.18755944,10131.47999991,10185.18755944,10168.82560717,514815.7934799,50.78888988,10136.38602253
1566369600,10162.3023445,10130,10162.3023445,10139.70227573,273310.65436842,26.97021141,10133.79725555
1566369900,10176.31741299,10132.99729672,10132.99729673,10175.52331239,84115.6346036,8.27980463,10159.13277697
1566370200,10186.2084136,10165.28991395,10171.02800897,10186.2084136,25191.39619437,2.47574414,10175.28256953
